[2025-07-12 00:30:29] [INFO    ] discord.client: logging in using static token
[2025-07-12 00:30:33] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'GUILD_CREATE', 's': 2, 'op': 0, 'd': {'latest_onboarding_question_id': None, 'premium_subscription_count': 0, 'system_channel_flags': 0, 'application_command_counts': {}, 'features': [], 'afk_timeout': 300, 'nsfw_level': 0, 'vanity_url_code': None, 'roles': [{'version': 1752251972876, 'unicode_emoji': None, 'tags': {}, 'position': 0, 'permissions': '2248473465835073', 'name': '@everyone', 'mentionable': False, 'managed': False, 'id': '1393270498934394930', 'icon': None, 'hoist': False, 'flags': 0, 'colors': {'tertiary_color': None, 'secondary_color': None, 'primary_color': 0}, 'color': 0}, {'version': 1752266162210, 'unicode_emoji': None, 'tags': {'bot_id': '1393267805784375378'}, 'position': 2, 'permissions': '563276639759424', 'name': 'daemon_time_v1', 'mentionable': False, 'managed': True, 'id': '1393271354069090336', 'icon': None, 'hoist': False, 'flags': 0, 'colors': {'tertiary_color': None, 'secondary_color': None, 'primary_color': 0}, 'color': 0}, {'version': 1752266162207, 'unicode_emoji': None, 'tags': {}, 'position': 1, 'permissions': '0', 'name': 'fScociety', 'mentionable': False, 'managed': False, 'id': '1393327582761586760', 'icon': None, 'hoist': False, 'flags': 0, 'colors': {'tertiary_color': None, 'secondary_color': None, 'primary_color': 0}, 'color': 0}], 'lazy': True, 'profile': None, 'default_message_notifications': 0, 'explicit_content_filter': 0, 'application_id': None, 'premium_features': None, 'incidents_data': None, 'stickers': [], 'unavailable': False, 'public_updates_channel_id': None, 'banner': None, 'discovery_splash': None, 'id': '1393270498934394930', 'name': 'py-cy-tech', 'preferred_locale': 'en-US', 'region': 'deprecated', 'threads': [], 'nsfw': False, 'soundboard_sounds': [], 'home_header': None, 'splash': None, 'joined_at': '2025-07-11T16:42:56.574000+00:00', 'large': False, 'premium_progress_bar_enabled': False, 'owner_configured_content_level': 0, 'system_channel_id': '1393270499852681218', 'description': None, 'hub_type': None, 'max_members': 2500000, 'emojis': [], 'activity_instances': [], 'channels': [{'version': 1752251972880, 'type': 4, 'position': 0, 'permission_overwrites': [], 'name': 'Text Channels', 'id': '1393270499852681216', 'flags': 0}, {'version': 1752251972883, 'type': 4, 'position': 0, 'permission_overwrites': [], 'name': 'Voice Channels', 'id': '1393270499852681217', 'flags': 0}, {'version': 1752251972894, 'type': 0, 'topic': None, 'rate_limit_per_user': 0, 'position': 0, 'permission_overwrites': [], 'parent_id': '1393270499852681216', 'name': 'general', 'last_message_id': '1393337285302292582', 'id': '1393270499852681218', 'icon_emoji': {'name': '👋', 'id': None}, 'flags': 0}, {'version': 1752251972909, 'user_limit': 0, 'type': 2, 'rtc_region': None, 'rate_limit_per_user': 0, 'position': 0, 'permission_overwrites': [], 'parent_id': '1393270499852681217', 'name': 'General', 'last_message_id': None, 'id': '1393270499852681219', 'icon_emoji': {'name': '🎙', 'id': None}, 'flags': 0, 'bitrate': 64000}], 'stage_instances': [], 'safety_alerts_channel_id': None, 'members': [{'user': {'username': 'daemon_time_v1', 'public_flags': 0, 'primary_guild': None, 'id': '1393267805784375378', 'global_name': None, 'display_name': None, 'discriminator': '4613', 'collectibles': None, 'bot': True, 'avatar_decoration_data': None, 'avatar': None}, 'roles': ['1393271354069090336'], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2025-07-11T16:42:56.574000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}], 'max_video_channel_users': 25, 'verification_level': 0, 'max_stage_video_channel_users': 50, 'guild_scheduled_events': [], 'afk_channel_id': None, 'inventory_settings': None, 'moderator_reporting': None, 'premium_tier': 0, 'voice_states': [], 'icon': '619a4bbcee41bff0c4fefc5b6c595ada', 'mfa_level': 0, 'member_count': 2, 'version': 1752265523141, 'owner_id': '1032271783576997958', 'presences': [], 'embedded_activities': [], 'rules_channel_id': None}}
[2025-07-12 00:30:33] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2025-07-12 00:30:33] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'GUILD_MEMBERS_CHUNK', 's': 3, 'op': 0, 'd': {'nonce': '7986db6aa3b226efcf4318880d432dc0', 'members': [{'user': {'username': 'own_the_net', 'public_flags': 0, 'primary_guild': None, 'id': '1032271783576997958', 'global_name': 'AKM', 'display_name': 'AKM', 'discriminator': '0', 'collectibles': None, 'bot': False, 'avatar_decoration_data': None, 'avatar': None}, 'roles': ['1393327582761586760'], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2025-07-11T16:39:32.828000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}, {'user': {'username': 'daemon_time_v1', 'public_flags': 0, 'primary_guild': None, 'id': '1393267805784375378', 'global_name': None, 'display_name': None, 'discriminator': '4613', 'collectibles': None, 'bot': True, 'avatar_decoration_data': None, 'avatar': None}, 'roles': ['1393271354069090336'], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2025-07-11T16:42:56.574000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}], 'guild_id': '1393270498934394930', 'chunk_index': 0, 'chunk_count': 1}}
[2025-07-12 00:30:33] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2025-07-12 00:30:33] [DEBUG   ] discord.state: Processed a chunk for 2 members in guild ID 1393270498934394930.
[2025-07-12 00:30:35] [DEBUG   ] discord.client: Dispatching event guild_available
[2025-07-12 00:30:35] [DEBUG   ] discord.client: Dispatching event ready
[2025-07-12 00:30:39] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'TYPING_START', 's': 4, 'op': 0, 'd': {'user_id': '1032271783576997958', 'timestamp': 1752269440, 'member': {'user': {'username': 'own_the_net', 'public_flags': 0, 'primary_guild': None, 'id': '1032271783576997958', 'global_name': 'AKM', 'display_name': 'AKM', 'discriminator': '0', 'collectibles': None, 'bot': False, 'avatar_decoration_data': None, 'avatar': None}, 'roles': ['1393327582761586760'], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2025-07-11T16:39:32.828000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}, 'channel_id': '1393270499852681218', 'guild_id': '1393270498934394930'}}
[2025-07-12 00:30:39] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2025-07-12 00:30:39] [DEBUG   ] discord.client: Dispatching event typing
[2025-07-12 00:30:39] [DEBUG   ] discord.client: Dispatching event raw_typing
[2025-07-12 00:30:41] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'MESSAGE_CREATE', 's': 5, 'op': 0, 'd': {'type': 0, 'tts': False, 'timestamp': '2025-07-11T21:30:42.231000+00:00', 'pinned': False, 'nonce': '1393343767024500736', 'mentions': [], 'mention_roles': [], 'mention_everyone': False, 'member': {'roles': ['1393327582761586760'], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2025-07-11T16:39:32.828000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}, 'id': '1393343771625656411', 'flags': 0, 'embeds': [], 'edited_timestamp': None, 'content': '!hey', 'components': [], 'channel_type': 0, 'channel_id': '1393270499852681218', 'author': {'username': 'own_the_net', 'public_flags': 0, 'primary_guild': None, 'id': '1032271783576997958', 'global_name': 'AKM', 'display_name_styles': None, 'discriminator': '0', 'collectibles': None, 'clan': None, 'avatar_decoration_data': None, 'avatar': None}, 'attachments': [], 'guild_id': '1393270498934394930'}}
[2025-07-12 00:30:41] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2025-07-12 00:30:41] [DEBUG   ] discord.client: Dispatching event message
[2025-07-12 00:30:41] [DEBUG   ] discord.client: Dispatching event command_error
[2025-07-12 00:30:41] [ERROR   ] discord.ext.commands.bot: Ignoring exception in command None
discord.ext.commands.errors.CommandNotFound: Command "hey" is not found
[2025-07-12 00:30:49] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'TYPING_START', 's': 6, 'op': 0, 'd': {'user_id': '1032271783576997958', 'timestamp': 1752269449, 'member': {'user': {'username': 'own_the_net', 'public_flags': 0, 'primary_guild': None, 'id': '1032271783576997958', 'global_name': 'AKM', 'display_name': 'AKM', 'discriminator': '0', 'collectibles': None, 'bot': False, 'avatar_decoration_data': None, 'avatar': None}, 'roles': ['1393327582761586760'], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2025-07-11T16:39:32.828000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}, 'channel_id': '1393270499852681218', 'guild_id': '1393270498934394930'}}
[2025-07-12 00:30:49] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2025-07-12 00:30:49] [DEBUG   ] discord.client: Dispatching event typing
[2025-07-12 00:30:49] [DEBUG   ] discord.client: Dispatching event raw_typing
[2025-07-12 00:30:50] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'MESSAGE_CREATE', 's': 7, 'op': 0, 'd': {'type': 0, 'tts': False, 'timestamp': '2025-07-11T21:30:50.398000+00:00', 'pinned': False, 'nonce': '1393343801904332800', 'mentions': [], 'mention_roles': [], 'mention_everyone': False, 'member': {'roles': ['1393327582761586760'], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2025-07-11T16:39:32.828000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}, 'id': '1393343805880795349', 'flags': 0, 'embeds': [], 'edited_timestamp': None, 'content': '!hello', 'components': [], 'channel_type': 0, 'channel_id': '1393270499852681218', 'author': {'username': 'own_the_net', 'public_flags': 0, 'primary_guild': None, 'id': '1032271783576997958', 'global_name': 'AKM', 'display_name_styles': None, 'discriminator': '0', 'collectibles': None, 'clan': None, 'avatar_decoration_data': None, 'avatar': None}, 'attachments': [], 'guild_id': '1393270498934394930'}}
[2025-07-12 00:30:50] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2025-07-12 00:30:50] [DEBUG   ] discord.client: Dispatching event message
[2025-07-12 00:30:50] [DEBUG   ] discord.client: Dispatching event command
[2025-07-12 00:30:51] [DEBUG   ] discord.http: POST https://discord.com/api/v10/channels/1393270499852681218/messages with {"content":"Hello <@1032271783576997958>","components":[],"nonce":"7451297309836417769","enforce_nonce":true,"tts":false} has returned 200
[2025-07-12 00:30:51] [DEBUG   ] discord.http: POST /channels/{channel_id}/messages has found its initial rate limit bucket hash (3df15bae86f6647dd4dfcbd5c6949480).
[2025-07-12 00:30:51] [DEBUG   ] discord.http: POST https://discord.com/api/v10/channels/1393270499852681218/messages has received {'type': 0, 'content': 'Hello <@1032271783576997958>', 'mentions': [{'id': '1032271783576997958', 'username': 'own_the_net', 'avatar': None, 'discriminator': '0', 'public_flags': 0, 'flags': 0, 'banner': None, 'accent_color': None, 'global_name': 'AKM', 'avatar_decoration_data': None, 'collectibles': None, 'display_name_styles': None, 'banner_color': None, 'clan': None, 'primary_guild': None}], 'mention_roles': [], 'attachments': [], 'embeds': [], 'timestamp': '2025-07-11T21:30:51.607000+00:00', 'edited_timestamp': None, 'flags': 0, 'components': [], 'id': '1393343810951446651', 'channel_id': '1393270499852681218', 'author': {'id': '1393267805784375378', 'username': 'daemon_time_v1', 'avatar': None, 'discriminator': '4613', 'public_flags': 0, 'flags': 0, 'bot': True, 'banner': None, 'accent_color': None, 'global_name': None, 'avatar_decoration_data': None, 'collectibles': None, 'display_name_styles': None, 'banner_color': None, 'clan': None, 'primary_guild': None}, 'pinned': False, 'mention_everyone': False, 'tts': False, 'nonce': '7451297309836417769'}
[2025-07-12 00:30:51] [DEBUG   ] discord.client: Dispatching event command_completion
[2025-07-12 00:30:51] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'MESSAGE_CREATE', 's': 8, 'op': 0, 'd': {'type': 0, 'tts': False, 'timestamp': '2025-07-11T21:30:51.607000+00:00', 'pinned': False, 'nonce': '7451297309836417769', 'mentions': [{'username': 'own_the_net', 'public_flags': 0, 'primary_guild': None, 'member': {'roles': ['1393327582761586760'], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2025-07-11T16:39:32.828000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}, 'id': '1032271783576997958', 'global_name': 'AKM', 'display_name_styles': None, 'discriminator': '0', 'collectibles': None, 'clan': None, 'avatar_decoration_data': None, 'avatar': None}], 'mention_roles': [], 'mention_everyone': False, 'member': {'roles': ['1393271354069090336'], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2025-07-11T16:42:56.574000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}, 'id': '1393343810951446651', 'flags': 0, 'embeds': [], 'edited_timestamp': None, 'content': 'Hello <@1032271783576997958>', 'components': [], 'channel_type': 0, 'channel_id': '1393270499852681218', 'author': {'username': 'daemon_time_v1', 'public_flags': 0, 'primary_guild': None, 'id': '1393267805784375378', 'global_name': None, 'display_name_styles': None, 'discriminator': '4613', 'collectibles': None, 'clan': None, 'bot': True, 'avatar_decoration_data': None, 'avatar': None}, 'attachments': [], 'guild_id': '1393270498934394930'}}
[2025-07-12 00:30:51] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2025-07-12 00:30:51] [DEBUG   ] discord.client: Dispatching event message
[2025-07-12 00:31:13] [DEBUG   ] discord.gateway: Keeping shard ID None websocket alive with sequence 8.
[2025-07-12 00:31:14] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 11, 'd': None}
[2025-07-12 00:31:55] [DEBUG   ] discord.gateway: Keeping shard ID None websocket alive with sequence 8.
[2025-07-12 00:31:55] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 11, 'd': None}
[2025-07-12 00:32:14] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'TYPING_START', 's': 9, 'op': 0, 'd': {'user_id': '1032271783576997958', 'timestamp': 1752269534, 'member': {'user': {'username': 'own_the_net', 'public_flags': 0, 'primary_guild': None, 'id': '1032271783576997958', 'global_name': 'AKM', 'display_name': 'AKM', 'discriminator': '0', 'collectibles': None, 'bot': False, 'avatar_decoration_data': None, 'avatar': None}, 'roles': ['1393327582761586760'], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2025-07-11T16:39:32.828000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}, 'channel_id': '1393270499852681218', 'guild_id': '1393270498934394930'}}
[2025-07-12 00:32:14] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2025-07-12 00:32:14] [DEBUG   ] discord.client: Dispatching event typing
[2025-07-12 00:32:14] [DEBUG   ] discord.client: Dispatching event raw_typing
[2025-07-12 00:32:14] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'MESSAGE_CREATE', 's': 10, 'op': 0, 'd': {'type': 0, 'tts': False, 'timestamp': '2025-07-11T21:32:14.822000+00:00', 'pinned': False, 'nonce': '1393344155551268864', 'mentions': [], 'mention_roles': [], 'mention_everyone': False, 'member': {'roles': ['1393327582761586760'], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2025-07-11T16:39:32.828000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}, 'id': '1393344159980457997', 'flags': 0, 'embeds': [], 'edited_timestamp': None, 'content': '!reply', 'components': [], 'channel_type': 0, 'channel_id': '1393270499852681218', 'author': {'username': 'own_the_net', 'public_flags': 0, 'primary_guild': None, 'id': '1032271783576997958', 'global_name': 'AKM', 'display_name_styles': None, 'discriminator': '0', 'collectibles': None, 'clan': None, 'avatar_decoration_data': None, 'avatar': None}, 'attachments': [], 'guild_id': '1393270498934394930'}}
[2025-07-12 00:32:14] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2025-07-12 00:32:14] [DEBUG   ] discord.client: Dispatching event message
[2025-07-12 00:32:14] [DEBUG   ] discord.client: Dispatching event command
[2025-07-12 00:32:15] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'MESSAGE_CREATE', 's': 11, 'op': 0, 'd': {'type': 19, 'tts': False, 'timestamp': '2025-07-11T21:32:15.885000+00:00', 'referenced_message': {'type': 0, 'tts': False, 'timestamp': '2025-07-11T21:32:14.822000+00:00', 'pinned': False, 'mentions': [], 'mention_roles': [], 'mention_everyone': False, 'id': '1393344159980457997', 'flags': 0, 'embeds': [], 'edited_timestamp': None, 'content': '!reply', 'components': [], 'channel_id': '1393270499852681218', 'author': {'username': 'own_the_net', 'public_flags': 0, 'primary_guild': None, 'id': '1032271783576997958', 'global_name': 'AKM', 'display_name_styles': None, 'discriminator': '0', 'collectibles': None, 'clan': None, 'avatar_decoration_data': None, 'avatar': None}, 'attachments': []}, 'pinned': False, 'nonce': '461148802836640014', 'message_reference': {'type': 0, 'message_id': '1393344159980457997', 'guild_id': '1393270498934394930', 'channel_id': '1393270499852681218'}, 'mentions': [{'username': 'own_the_net', 'public_flags': 0, 'primary_guild': None, 'member': {'roles': ['1393327582761586760'], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2025-07-11T16:39:32.828000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}, 'id': '1032271783576997958', 'global_name': 'AKM', 'display_name_styles': None, 'discriminator': '0', 'collectibles': None, 'clan': None, 'avatar_decoration_data': None, 'avatar': None}], 'mention_roles': [], 'mention_everyone': False, 'member': {'roles': ['1393271354069090336'], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2025-07-11T16:42:56.574000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}, 'id': '1393344164439261274', 'flags': 0, 'embeds': [], 'edited_timestamp': None, 'content': 'This is a reply to your message', 'components': [], 'channel_type': 0, 'channel_id': '1393270499852681218', 'author': {'username': 'daemon_time_v1', 'public_flags': 0, 'primary_guild': None, 'id': '1393267805784375378', 'global_name': None, 'display_name_styles': None, 'discriminator': '4613', 'collectibles': None, 'clan': None, 'bot': True, 'avatar_decoration_data': None, 'avatar': None}, 'attachments': [], 'guild_id': '1393270498934394930'}}
[2025-07-12 00:32:15] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2025-07-12 00:32:15] [DEBUG   ] discord.client: Dispatching event message
[2025-07-12 00:32:15] [DEBUG   ] discord.http: POST https://discord.com/api/v10/channels/1393270499852681218/messages with {"content":"This is a reply to your message","components":[],"nonce":"461148802836640014","enforce_nonce":true,"message_reference":{"message_id":1393344159980457997,"channel_id":1393270499852681218,"guild_id":1393270498934394930},"tts":false} has returned 200
[2025-07-12 00:32:15] [DEBUG   ] discord.http: POST https://discord.com/api/v10/channels/1393270499852681218/messages has received {'type': 19, 'content': 'This is a reply to your message', 'mentions': [{'id': '1032271783576997958', 'username': 'own_the_net', 'avatar': None, 'discriminator': '0', 'public_flags': 0, 'flags': 0, 'banner': None, 'accent_color': None, 'global_name': 'AKM', 'avatar_decoration_data': None, 'collectibles': None, 'display_name_styles': None, 'banner_color': None, 'clan': None, 'primary_guild': None}], 'mention_roles': [], 'attachments': [], 'embeds': [], 'timestamp': '2025-07-11T21:32:15.885000+00:00', 'edited_timestamp': None, 'flags': 0, 'components': [], 'id': '1393344164439261274', 'channel_id': '1393270499852681218', 'author': {'id': '1393267805784375378', 'username': 'daemon_time_v1', 'avatar': None, 'discriminator': '4613', 'public_flags': 0, 'flags': 0, 'bot': True, 'banner': None, 'accent_color': None, 'global_name': None, 'avatar_decoration_data': None, 'collectibles': None, 'display_name_styles': None, 'banner_color': None, 'clan': None, 'primary_guild': None}, 'pinned': False, 'mention_everyone': False, 'tts': False, 'nonce': '461148802836640014', 'message_reference': {'type': 0, 'channel_id': '1393270499852681218', 'message_id': '1393344159980457997', 'guild_id': '1393270498934394930'}, 'referenced_message': {'type': 0, 'content': '!reply', 'mentions': [], 'mention_roles': [], 'attachments': [], 'embeds': [], 'timestamp': '2025-07-11T21:32:14.822000+00:00', 'edited_timestamp': None, 'flags': 0, 'components': [], 'id': '1393344159980457997', 'channel_id': '1393270499852681218', 'author': {'id': '1032271783576997958', 'username': 'own_the_net', 'avatar': None, 'discriminator': '0', 'public_flags': 0, 'flags': 0, 'banner': None, 'accent_color': None, 'global_name': 'AKM', 'avatar_decoration_data': None, 'collectibles': None, 'display_name_styles': None, 'banner_color': None, 'clan': None, 'primary_guild': None}, 'pinned': False, 'mention_everyone': False, 'tts': False}}
[2025-07-12 00:32:15] [DEBUG   ] discord.client: Dispatching event command_completion
[2025-07-12 00:32:36] [DEBUG   ] discord.gateway: Keeping shard ID None websocket alive with sequence 11.
[2025-07-12 00:32:36] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 11, 'd': None}
[2025-07-12 00:33:17] [DEBUG   ] discord.gateway: Keeping shard ID None websocket alive with sequence 11.
[2025-07-12 00:33:18] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 11, 'd': None}
[2025-07-12 00:33:58] [DEBUG   ] discord.gateway: Keeping shard ID None websocket alive with sequence 11.
[2025-07-12 00:33:59] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 11, 'd': None}
[2025-07-12 00:34:40] [DEBUG   ] discord.gateway: Keeping shard ID None websocket alive with sequence 11.
